 #E(MeVfm-3) P(MeVfm-3) Rho/Rho0
   0.370693E-05   0.245092E-09   0.248982E-07
   0.385996E-05   0.260225E-09   0.259260E-07
   0.401956E-05   0.276291E-09   0.269979E-07
   0.418600E-05   0.293350E-09   0.281158E-07
   0.435961E-05   0.311461E-09   0.292818E-07
   0.452759E-05   0.329289E-09   0.304099E-07
   0.466400E-05   0.329289E-09   0.313261E-07
   0.485220E-05   0.349011E-09   0.325901E-07
   0.505428E-05   0.370560E-09   0.339473E-07
   0.526510E-05   0.393439E-09   0.353631E-07
   0.548504E-05   0.417731E-09   0.368402E-07
   0.571449E-05   0.443522E-09   0.383813E-07
   0.595396E-05   0.470905E-09   0.399893E-07
   0.620376E-05   0.499979E-09   0.416671E-07
   0.646443E-05   0.530849E-09   0.434179E-07
   0.673650E-05   0.563624E-09   0.452448E-07
   0.702040E-05   0.598422E-09   0.471514E-07
   0.731670E-05   0.635367E-09   0.491413E-07
   0.762596E-05   0.674601E-09   0.512181E-07
   0.794868E-05   0.716251E-09   0.533857E-07
   0.828559E-05   0.760472E-09   0.556483E-07
   0.863731E-05   0.807420E-09   0.580100E-07
   0.900440E-05   0.857271E-09   0.604754E-07
   0.938765E-05   0.910206E-09   0.630488E-07
   0.978772E-05   0.966398E-09   0.657356E-07
   0.102055E-04   0.102607E-08   0.685413E-07
   0.106416E-04   0.108942E-08   0.714700E-07
   0.110969E-04   0.115668E-08   0.745281E-07
   0.115725E-04   0.122809E-08   0.777213E-07
   0.120690E-04   0.130392E-08   0.810550E-07
   0.125874E-04   0.138442E-08   0.845369E-07
   0.131289E-04   0.146990E-08   0.881725E-07
   0.136943E-04   0.156065E-08   0.919700E-07
   0.142848E-04   0.165701E-08   0.959350E-07
   0.149016E-04   0.175931E-08   0.100077E-06
   0.155457E-04   0.186794E-08   0.104403E-06
   0.162186E-04   0.198326E-08   0.108921E-06
   0.169214E-04   0.210572E-08   0.113639E-06
   0.176555E-04   0.223573E-08   0.118569E-06
   0.184223E-04   0.237376E-08   0.123718E-06
   0.192233E-04   0.252032E-08   0.129097E-06
   0.200602E-04   0.267593E-08   0.134716E-06
   0.209344E-04   0.284114E-08   0.140586E-06
   0.218478E-04   0.301656E-08   0.146719E-06
   0.228020E-04   0.320281E-08   0.153126E-06
   0.237990E-04   0.340055E-08   0.159820E-06
   0.248406E-04   0.361050E-08   0.166814E-06
   0.259290E-04   0.383342E-08   0.174122E-06
